post_text,date_first_posted,date_of_extract_last,n,condition,mean_reactions,mean_comments,mean_shares,mean_views,mean_reach,mean_impressions,link_clicks
The program enables Bucks IU p,2025-05-29T07:21:00Z,2025-06-01,18,BAU,4.888888888888889,0,1,1563.8333333333333,1162.9444444444443,NA,1
The rise in students with disa,2025-02-26T12:02:00Z,2025-02-28,41,BAU,158.5609756097561,24.26829268292683,72.09756097560975,21461.756097560974,13930.317073170732,11995,200.29268292682926
The training framework for spe,2025-06-03T13:01:00Z,2025-06-03,17,BAU,5.882352941176471,6.882352941176471,0.9411764705882353,2640.705882352941,1839.5882352941176,NA,9.764705882352942
The use of progress-monitoring,2025-05-20T12:00:00Z,2025-05-20,22,Text Only,7.818181818181818,0,2.9545454545454546,1212.090909090909,963.5,NA,20.227272727272727
There are ways to change and i,2025-04-22T12:00:00Z,2025-04-22,27,Text Only,14.407407407407407,0,3,3721,2708.074074074074,NA,67.66666666666667
"This Memorial Day, we honor th",2025-05-26T05:30:00Z,2025-05-27,19,BAU,42.78947368421053,1,7,2315.6315789473683,1995.3684210526317,NA,NA
This Teacher Appreciation Week,2025-05-05T06:46:00Z,2025-05-08,27,BAU,140.59259259259258,4,34.851851851851855,6843.962962962963,4934,NA,NA
"This Thursday, join your colle",2025-02-18T07:04:00Z,2025-05-02,3,BAU,88,5,40,7639.666666666667,4365,NA,58
This framework supports teache,2025-06-12T12:00:00Z,2025-06-19,13,TVA,13,0,9,3544.3846153846152,2480.076923076923,NA,24.846153846153847
This project is part of Bridge,2025-07-07T12:00:00Z,2025-07-11,8,BAU,88.75,12,9,6388.5,4630.75,NA,59.75
This year marks 50 years of ID,2025-03-12T12:10:00Z,2025-03-13,40,BAU,447.175,47.55,77.35,20446.575,12710.15,NA,12.897435897435898
Time to check some items off y,2025-02-20T07:14:00Z,2025-05-02,3,BAU,13,0,3,2642.3333333333335,1959.6666666666667,NA,19
